omimatricula;cc_nit
9313931;860.005.101-9
9315824;860.005.101-9
9304801;830.113.435-7
9334820;860.031.615-2
9300324;811.001.005-3
9301328;860.005.101-9
9301445;800.159.356-2
9287297;860.532.426-7
9287443;835.001.707-2
9287895;800.249.687-1
9289556;811.001.005-3
9290866;800.116.249-8
9287924;811.001.005-3
9338967;860.031.615-2
9297876;811.001.005-3
9298363;835.001.707-2
9298387;835.001.707-2
9299109;860.532.426-7
9299109;835.001.707-2
9299628;860.031.615-2
9249908;860.532.426-7
9320269;835.001.707-2
9320403;800.249.687-1
9320427;800.249.687-1
9336062;806.004.569-0
9336086;806.004.569-0
9193692;800.246.993-7
9306160;802.008.802-6
9316983;835.001.707-2
9316983;800.246.993-7
9318462;860.031.615-2
9318474;860.031.615-2
9299630;860.031.615-2
9341146;835.001.500-5
9342176;860.005.101-9
9343625;800.067.129-1
9320453;800.249.687-1
9322475;811.001.005-3
9322487;811.001.005-3
9322499;811.001.005-3
9256834;860.532.426-7
9347853;860.532.426-7
9347932;800.116.249-8
9348053;860.005.101-9
9348065;860.005.101-9
9273894;802.008.802-6
9275048;860.005.101-9
9351024;860.031.615-2
9355240;802.008.802-6
9355288;860.005.101-9
9355331;860.005.101-9
9355343;860.005.101-9
9355355;860.005.101-9
9338711;806.004.569-0
9360192;860.532.426-7
9360245;860.031.615-2
9326744;860.031.615-2
9328297;800.067.129-1
9331402;860.532.426-7
9331505;860.532.426-7
9331505;835.001.707-2
9331505;900.477.097-6
9348077;860.005.101-9
9348649;860.005.101-9
9323766;800.116.249-8
9324083;800.246.993-7
9325104;800.246.993-7
9325233;806.004.569-0
9368857;900.477.097-6
9355367;860.005.101-9
9357080;860.006.765-3
9348651;860.005.101-9
9348986;811.001.005-3
9357119;860.006.765-3
9357236;800.116.249-8
9357236;835.001.707-2
9357420;835.001.500-5
9339600;800.159.356-2
9349368;860.005.101-9
9331505;800.116.249-8
9331804;835.001.707-2
9331880;800.246.993-7
9332315;835.001.500-5
9339636;800.116.249-8
9339844;806.004.569-0
9339856;811.001.005-3
9339947;860.532.426-7
9340453;835.001.500-5
9340465;835.001.707-2
9340776;802.008.802-6
9291987;800.246.993-7
9291987;800.116.249-8
9293521;860.031.615-2
9293583;806.004.569-0
9293636;860.006.765-3
9293909;806.004.569-0
9379650;800.246.993-7
9332547;860.031.615-2
9332975;860.005.101-9
9332987;860.005.101-9
9332999;860.005.101-9
9333008;860.005.101-9
9333010;860.005.101-9
9333022;860.005.101-9
9343819;835.001.500-5
9346017;802.008.802-6
9384162;900.477.097-6
9384942;802.008.802-6
9308716;860.532.426-7
9309526;835.001.707-2
9309526;800.246.993-7
9309617;860.532.426-7
9310616;800.246.993-7
9311529;830.506.584-3
9311880;860.031.615-2
9385477;860.532.426-7
9385489;860.532.426-7
9385491;860.532.426-7
9385506;860.532.426-7
9386914;800.116.249-8
9386988;860.031.615-2
9334480;800.246.993-7
9399765;860.005.101-9
9400071;802.008.802-6
9400100;802.008.802-6
9400203;800.249.687-1
9351048;860.031.615-2
9351581;800.249.687-1
9351725;806.004.569-0
9391799;802.008.802-6
9392133;835.001.707-2
9392341;802.008.802-6
9370393;835.001.707-2
9370408;860.532.426-7
9371725;900.477.097-6
9372810;802.008.802-6
9372872;802.008.802-6
9373462;860.031.615-2
9400306;806.004.569-0
9400875;800.246.993-7
9401283;860.005.101-9
9238210;900.477.097-6
9238325;800.067.129-1
9238739;860.031.615-2
9240160;806.004.569-0
9347827;860.532.426-7
9349643;835.001.500-5
9349655;800.067.129-1
9349813;800.249.687-1
9395056;860.031.615-2
9364801;835.001.707-2
9364837;835.001.500-5
9365362;800.067.129-1
9422794;835.001.707-2
9423475;800.246.993-7
9423475;900.477.097-6
9423645;835.001.500-5
9424089;835.001.707-2
9357949;860.005.101-9
9358888;806.004.569-0
9397042;806.004.569-0
9397262;835.001.500-5
9484041;830.506.584-3
9312822;806.004.569-0
9450777;835.001.500-5
9451410;800.067.129-1
9451410;860.532.426-7
9453298;806.004.569-0
7654321;890.903.069-2
9144160;802.008.802-6
9145700;800.246.993-7
9412646;900.477.097-6
9412945;800.246.993-7
9412957;835.001.707-2
9413925;835.001.707-2
9414462;800.246.993-7
9415222;835.001.707-2
9415246;860.532.426-7
9389124;835.001.707-2
9390331;900.477.097-6
9391581;806.004.569-0
9391593;806.004.569-0
9391634;860.532.426-7
9461697;806.004.569-0
9463205;806.004.569-0
9415844;860.005.101-9
9416044;835.001.500-5
9416044;860.532.426-7
9416056;835.001.500-5
9416070;835.001.500-5
9435868;835.001.707-2
9436329;900.477.097-6
9437153;800.116.249-8
9437165;800.116.249-8
9438028;900.477.097-6
9438054;900.477.097-6
9438212;860.532.426-7
9347827;800.116.249-8
9439735;860.031.615-2
9440978;860.532.426-7
9441415;860.532.426-7
9441594;806.004.569-0
9441958;900.477.097-6
9442885;860.006.765-3
9443463;800.249.687-1
9443475;800.249.687-1
9401879;860.532.426-7
9401984;860.031.615-2
9402744;802.008.802-6
9403217;802.008.802-6
9403255;800.246.993-7
9408774;860.005.101-9
9409053;860.031.615-2
9409546;860.532.426-7
9368340;830.506.584-3
9472696;800.116.249-8
9472737;860.005.101-9
9473107;800.067.129-1
9473119;835.001.500-5
9473119;835.001.707-2
9474204;800.246.993-7
9474785;800.246.993-7
9475040;800.246.993-7
9476721;806.004.569-0
9484297;806.004.569-0
9485784;860.532.426-7
9485863;835.001.500-5
9454187;860.532.426-7
9454711;806.004.569-0
9455296;860.532.426-7
9455715;806.004.569-0
9456537;800.116.249-8
9457646;860.532.426-7
9392808;806.004.569-0
9392925;860.005.101-9
9394870;860.005.101-9
9424132;800.116.249-8
9426702;800.246.993-7
9426790;811.001.005-3
9426867;900.477.097-6
9427392;800.067.129-1
9427940;806.004.569-0
9518347;806.004.569-0
9520596;800.246.993-7
9379662;900.477.097-6
9382499;835.001.500-5
9382499;860.532.426-7
9382504;835.001.500-5
9382504;800.116.249-8
9431513;800.246.993-7
9431800;800.249.687-1
9431836;860.031.615-2
9433286;800.116.249-8
9464455;802.008.802-6
9468217;835.001.707-2
9469833;800.116.249-8
9470313;835.001.707-2
9586447;835.001.707-2
9587166;860.532.426-7
9587843;835.001.500-5
9588378;800.246.993-7
9443487;800.249.687-1
9443774;830.506.584-3
9443918;860.532.426-7
9445057;835.001.707-2
9446881;806.004.569-0
9448138;806.004.569-0
9571636;800.067.129-1
9410595;800.116.249-8
9623659;900.477.097-6
9623659;835.001.707-2
9623659;860.532.426-7
9623881;800.067.129-1
9624615;800.246.993-7
9624615;800.116.249-8
9625530;860.031.615-2
9520924;900.477.097-6
9521813;835.001.500-5
9521837;800.116.249-8
9521863;835.001.500-5
9521875;835.001.500-5
9524669;835.001.707-2
9526071;800.067.129-1
9526071;830.506.584-3
9306184;802.008.802-6
9491886;860.006.765-3
9493690;900.477.097-6
9493951;900.477.097-6
9486594;800.067.129-1
9487433;860.532.426-7
9488633;830.506.584-3
9489821;835.001.707-2
9489986;800.116.249-8
9490765;800.116.249-8
9491587;835.001.707-2
9603063;800.246.993-7
9604782;835.001.707-2
9557056;835.001.707-2
9557783;800.246.993-7
9559688;835.001.707-2
9561277;806.004.569-0
9561289;860.031.615-2
9561801;800.246.993-7
9561887;800.246.993-7
9561942;860.031.615-2
9565053;800.246.993-7
9565558;860.006.765-3
9477531;835.001.707-2
9478482;800.246.993-7
9478482;835.001.707-2
9478884;860.532.426-7
9479046;860.532.426-7
9479840;806.004.569-0
9479979;800.116.249-8
9480942;800.116.249-8
9481958;800.246.993-7
9482471;900.477.097-6
9404431;900.477.097-6
9506708;860.532.426-7
9506746;860.532.426-7
9507075;860.532.426-7
9508158;835.001.707-2
9508158;860.532.426-7
9508706;800.246.993-7
9512111;835.001.500-5
9512111;800.067.129-1
9604809;835.001.707-2
9604809;860.532.426-7
9604809;900.469.304-2
9604938;860.006.765-3
9605085;800.116.249-8
9606807;800.116.249-8
9607629;835.001.500-5
9610200;835.001.500-5
9610212;860.532.426-7
9572745;860.532.426-7
9572745;835.001.707-2
9572745;835.001.500-5
9572757;835.001.707-2
9573816;800.116.249-8
9574858;860.532.426-7
9574860;860.532.426-7
9577757;800.067.129-1
9579315;800.116.249-8
9438212;900.260.012-8
9533335;800.116.249-8
9533359;830.506.584-3
9536428;835.001.500-5
9536480;860.532.426-7
9537276;900.477.097-6
9588378;900.477.097-6
9589968;860.532.426-7
9590955;900.477.097-6
9590955;800.116.249-8
9593658;830.506.584-3
9593880;835.001.707-2
9594432;835.001.707-2
9595151;860.532.426-7
9597654;860.532.426-7
9610640;835.001.707-2
9610731;835.001.707-2
9611503;800.246.993-7
9612313;800.246.993-7
9612313;900.477.097-6
9616022;835.001.707-2
9616034;835.001.707-2
9616046;835.001.707-2
9616046;860.532.426-7
9628324;860.031.615-2
9628336;860.031.615-2
9631022;890.903.069-2
9635248;900.477.097-6
9636943;800.246.993-7
9638472;806.004.569-0
9639751;800.116.249-8
9640059;800.246.993-7
9301902;806.004.569-0
9303077;835.001.707-2
9406049;835.001.707-2
9406051;900.477.097-6
9406087;900.477.097-6
9407093;800.116.249-8
9494905;860.006.765-3
9496147;800.116.249-8
9496161;835.001.707-2
9497165;800.067.129-1
9497177;900.477.097-6
9499486;835.001.707-2
9499486;860.532.426-7
9503976;835.001.707-2
9579339;835.001.707-2
9580211;800.116.249-8
9580211;800.246.993-7
9580223;835.001.707-2
9580235;835.001.707-2
9580261;835.001.707-2
9580273;835.001.707-2
9583055;835.001.707-2
9394882;860.005.101-9
EB428;16.483.412
9457658;860.532.426-7
9457660;860.532.426-7
9457828;860.532.426-7
9459149;860.532.426-7
9460526;835.001.707-2
9460801;860.031.615-2
9597680;800.246.993-7
9597989;835.001.500-5
9598024;800.116.249-8
9599559;835.001.500-5
9537977;900.477.097-6
9542178;860.532.426-7
9542544;800.116.249-8
9543897;800.116.249-8
9544736;835.001.707-2
9544748;860.532.426-7
9545065;800.246.993-7
9546100;800.116.249-8
9616060;835.001.707-2
9616735;835.001.707-2
9616747;830.506.584-3
9618501;900.477.097-6
9620176;800.246.993-7
9565625;835.001.500-5
9565742;835.001.500-5
9565742;860.532.426-7
9566605;860.532.426-7
9567245;835.001.707-2
9567245;860.532.426-7
9569968;800.116.249-8
9104419;900.477.097-6
9107306;860.532.426-7
9108594;800.246.993-7
9110315;860.532.426-7
9111149;835.001.707-2
9112571;800.249.687-1
9114177;806.004.569-0
9224049;860.006.765-3
9460887;806.004.569-0
9460899;806.004.569-0
9512173;835.001.707-2
9514004;800.116.249-8
9224051;860.006.765-3
9527881;800.246.993-7
9527881;835.001.707-2
9528184;860.532.426-7
9529580;860.532.426-7
9530682;835.001.707-2
9531715;802.008.802-6
9547506;806.004.569-0
9548835;860.532.426-7
9550149;900.477.097-6
9550151;800.116.249-8
9550254;860.532.426-7
9550670;835.001.707-2
9552329;900.477.097-6
9553103;802.008.802-6
9416434;835.001.500-5
9418652;860.031.615-2
9418779;835.001.707-2
B-02-00117;16.483.412
B-02-06431;16.483.412
B-02-06733;16.483.412
B-02-07232;16.483.412
B-0702123;16.483.412
9642019;806.004.569-0
9644184;900.477.097-6
9644196;800.246.993-7
9644512;860.031.615-2
9649031;835.001.707-2
9649122;860.532.426-7
9650937;800.116.249-8
9651101;806.004.569-0
9407483;835.001.707-2
9407603;860.532.426-7
9433896;835.001.707-2
9434539;860.532.426-7
NOREGISTRA;16.483.412
PG-008969;31.377.890-1
9224673;800.116.249-8
9224867;900.477.097-6
9226322;800.246.993-7
9482665;835.001.707-2
9483188;900.477.097-6
9483217;800.246.993-7
9483229;900.477.097-6
9661235;800.067.129-1
9876543;890.903.069-2
9164770;800.134.133-9
9347255;890.916.161-9
9143740;890.916.161-9
9128063;890.916.161-9
9240873;890.916.161-9
9347279;890.916.161-9
9275050;890.916.161-9
9138290;890.916.161-9
8802088;890.916.161-9
9159103;890.916.161-9
9327592;890.916.161-9
9164756;800.134.133-9
9046538;890.916.161-9
9509138;890.916.161-9
9325441;890.916.161-9
9194957;890.916.161-9
9283693;890.916.161-9
9202857;890.916.161-9
9191498;890.916.161-9
MC-08-024;39.300.088
9045780;800.134.133-9
7201524;31.952.153-6
9046502;890.916.161-9
9194921;890.916.161-9
9202869;890.916.161-9
9128051;890.916.161-9
9235608;890.916.161-9
9294525;890.916.161-9
9164768;800.134.133-9
9047271;890.916.161-9
9046526;890.916.161-9
9046514;890.916.161-9
9357119;890.916.161-9
9445904;890.916.161-9
9128049;890.916.161-9
9155365;890.916.161-9
9373462;890.916.161-9
9301457;890.916.161-9
9215880;890.916.161-9
9213105;890.916.161-9
9045780;890.916.161-9
9160724;890.916.161-9
9149328;890.916.161-9
9472103;890.916.161-9
300454;31.952.153-6
8413019;800.134.133-9
MC-05-565;39.300.088
9326835;890.916.161-9
9181170;890.916.161-9
9368742;890.916.161-9
9164782;800.134.133-9
9517422;890.916.161-9
9175901;890.916.161-9
45903-14;39.300.088
9387463;890.916.161-9
9440306;890.916.161-9
7603916;31.952.153-6
9152181;890.916.161-9
9283708;890.916.161-9
9344681;890.916.161-9
9383285;890.916.161-9
9051791;890.916.161-9
9236638;890.916.161-9
9517434;890.916.161-9
9509126;890.916.161-9
9215892;890.916.161-9
5023643;39.300.088
9203904;890.916.161-9
9120205;890.916.161-9
9694426;890.916.161-9
9491628;890.916.161-9
9359105;890.916.161-9
9302437;890.916.161-9
9344693;890.916.161-9
SL100155;31.952.153-6
8912144;890.916.161-9
9267534;890.916.161-9
9304746;890.916.161-9
9301926;890.916.161-9
8801814;890.916.161-9
8912132;890.916.161-9
9128037;890.916.161-9
9067128;890.916.161-9
29753PEXT-3;39.300.088
9435521;890.916.161-9
9215878;890.916.161-9
9143752;800.134.133-9
9208356;890.916.161-9
9376012;890.916.161-9
9045936;890.916.161-9
9256389;890.916.161-9
9215907;890.916.161-9
8917211;890.916.161-9
9073402;890.916.161-9
9403449;890.916.161-9
9347815;890.916.161-9
9267546;890.916.161-9
9302956;890.916.161-9
9045948;890.916.161-9
46391-14;39.300.088
8407814;890.916.161-9
8911085;800.134.133-9
9326823;890.916.161-9
9159115;890.916.161-9
9019652;890.916.161-9
9047245;890.916.161-9
9045792;890.916.161-9
8807442;890.916.161-9
8908193;890.916.161-9
8920141;890.916.161-9
9222118;890.916.161-9
9275048;890.916.161-9
9011492;890.916.161-9
9302944;890.916.161-9
7211074;890.916.161-9
9330848;890.916.161-9
9304734;890.916.161-9
9160736;890.916.161-9
8909068;890.916.161-9
CP-02-0197-B;12.905.045-1
CP-02-0429;900.411.544-3
7369651;835.000.630-1
P000627;835.000.630-1
P040444;835.000.630-1
CP-02-0183;16.468.714-8
CP-02-0502;16.468.714-8
CP-02-0588;12.905.045-1
7113832;12.907.381
7015597;835.000.630-1
8800808;12.907.381
9007403;835.000.630-1
8818348;835.000.630-1
8502262;835.000.630-1
7015585;835.000.630-1
CP-02-0505;16.468.714-8
CP-02-0461;16.468.714-8
9282625;12.904.400-7
7919860;835.000.630-1
B-02-06367;12.905.045-1
7043908;835.000.630-1
9299109;12.907.381
7369649;835.000.630-1
7112280;12.907.381
9565625;12.904.400-7
B-02-07336;12.905.045-1
B-02-08167;12.905.045-1
1173052;12.905.045-1
B-02-06796;12.905.045-1
B-42-06786;12.905.045-1
9351452;12.904.400-7
6928125;835.000.630-1
B-07-02632;12.905.045-1
CP-02-0637;12.905.045-1
9307334;12.904.400-7
CP-02-0621;16.468.714-8
CP-02-0470;16.468.714-8
CP-02-0507;16.468.714-8
7369754;835.000.630-1
6924363;835.000.630-1
7043960;835.000.630-1
9007427;835.000.630-1
9505948;12.904.400-7
P-00-00627;835.000.630-1
9252187;12.904.400-7
CP-02-0429;2.935.836-5
CP-02-0461;2.935.836-5
LR66488996;12.905.045-1
CP-02-0505;2.935.836-5
B-02-06590;12.905.045-1
9567269;840.000.591-9
B-02-07988;12.905.045-1
B-02-08190;12.905.045-1
CP-02-0505;900.411.544-3
CP-02-0461;900.411.544-3
9307346;12.904.400-7
CP-02-0590;900.411.544-3
P040044;835.000.630-1
P000591;835.000.630-1
9567245;12.907.381
CP-02-0735;12.905.045-1
9577109;12.904.400-7
1065;12.905.045-1
8669606;835.000.630-1
7515652;835.000.630-1
B-07-02638;12.905.045-1
638647;12.905.045-1
861723;12.905.045-1
DA5581;12.907.381
9299109;840.000.591-9
9346433;12.904.400-7
9351414;12.904.400-7
9255945;12.904.400-7
9567257;840.000.591-9
641384;12.905.045-1
B-02-08355;16.468.714-8
B-02-08354;16.468.714-8
CP-02-0975;12.905.045-1
9268904;12.904.400-7
9755062;12.904.400-7
9740794;12.904.400-7
861847;12.905.045-1
9552666;12.904.400-7
7202293;835.000.630-1
7005839;835.000.630-1
30927-05;835.000.630-1
9265354;12.904.400-7
9542685;860.532.426-7
9663855;802.019.981-3
9366225;900.088.812-7
9329667;800.182.535-0
9435818;900.088.812-7
9724063;900.824.728-4
9642162;900.897.369-6
9557056;900.477.097-6
9550357;800.235.053-1
9255050;900.477.097-6
9491599;800.116.249-8
9640413;900.477.097-6
9463542;860.532.426-7
9648087;800.116.249-8
9351;900.290.842-2
9043093;802.010.775-1
9609823;830.506.584-3
9359595;900.477.097-6
8979374;900.590.941-0
9543251;901.102.112-3
9499486;900.477.097-6
9550369;800.235.053-1
9534482;860.532.426-7
9224855;800.116.249-8
9412488;806.013.504-0
9592721;900.477.097-6
9373474;800.250.763-5
9721750;900.824.728-4
9450703;900.477.097-6
9235622;800.220.366-6
9364356;900.088.812-7
9521875;901.102.112-3
9422665;802.010.775-1
9256389;800.250.763-5
9735127;800.116.249-8
9056076;806.004.303-9
9491616;900.088.812-7
9243382;900.824.728-4
9756626;860.532.426-7
9433157;800.116.249-8
9546083;830.506.584-3
9138678;860.077.997-9
9550345;800.235.053-1
9466996;806.004.303-9
9418729;900.477.097-6
9210270;860.031.615-2
9624770;900.824.728-4
9675834;800.116.249-8
9287443;802.019.981-3
9567257;802.019.981-3
9352353;860.532.426-7
9452919;900.477.097-6
9567245;802.010.775-1
9274927;830.506.584-3
9416082;860.532.426-7
9433262;860.077.997-9
STF27582;900.290.842-2
9482122;860.532.426-7
9470727;800.235.053-1
9583017;800.116.249-8
9431460;860.532.426-7
9344681;860.005.101-9
9648879;802.019.981-3
9322841;800.235.053-1
9285354;800.067.129-1
9552666;900.824.728-4
9263916;800.256.551-8
9111149;806.004.303-9
9803429;800.116.249-8
9419802;860.031.615-2
9498315;800.113.951-7
9408798;802.010.775-1
1273600;900.290.842-2
9330226;806.013.504-0
9286451;900.587.386-1
9255725;901.102.112-3
9344631;860.005.101-9
9303352;800.116.249-8
9507609;860.532.426-7
9668269;860.532.426-7
9277321;860.532.426-7
9416721;802.019.981-3
9300764;802.019.981-3
9415052;806.004.303-9
9304100;800.116.249-8
9742053;860.532.426-7
9370094;802.019.981-3
9192155;860.532.426-7
9111151;802.019.981-3
9322982;900.587.386-1
9292761;802.010.775-1
9405320;800.116.249-8
9392078;900.477.097-6
9236078;900.477.097-6
9317353;900.864.362-3
9612296;860.532.426-7
9487031;802.010.775-1
9473432;800.116.249-8
9294276;802.019.981-3
9551686;900.477.097-6
9230919;900.477.097-6
9373905;800.220.366-6
9043081;802.010.775-1
9574030;802.010.775-1
9431898;800.067.129-1
9488047;806.004.303-9
9544384;802.010.775-1
9116682;900.477.097-6
LWT33203782;900.290.842-2
9261956;900.261.482-0
9258222;900.477.097-6
9148037;900.261.482-0
9757802;900.477.097-6
9416707;860.532.426-7
9502829;900.477.097-6
9477531;860.532.426-7
9780603;860.532.426-7
9259836;800.220.366-6
9656553;806.004.303-9
9244855;860.532.426-7
8009088;900.261.482-0
9316165;800.067.129-1
9521851;900.477.097-6
9347748;800.116.249-8
9195420;800.116.249-8
9233911;802.010.775-1
9412476;806.013.504-0
9529243;800.220.366-6
9267754;860.532.426-7
9380805;900.477.097-6
9473119;802.010.775-1
585152;900.290.842-2
9808340;830.506.584-3
9624782;900.824.728-4
9719276;802.010.775-1
9300752;800.067.129-1
9210270;802.010.775-1
9336347;806.013.504-0
9727285;830.506.584-3
9587831;800.256.551-8
9452218;900.477.097-6
9299109;802.010.775-1
9193800;860.532.426-7
9244984;900.477.097-6
9642045;800.067.129-1
9473236;806.004.303-9
9746164;802.019.981-3
9107679;860.532.426-7
9401300;800.116.249-8
9277333;860.532.426-7
9716016;802.019.981-3
9615743;900.897.369-6
9138408;900.824.728-4
9566447;860.532.426-7
9426879;806.004.303-9
9727285;900.477.097-6
9733674;860.532.426-7
9721645;806.004.303-9
9210270;860.077.997-9
9622849;900.897.369-6
9305855;800.182.535-0
9315757;900.824.728-4
9473250;860.077.997-9
9542350;800.220.366-6
9237383;802.010.775-1
9515096;900.897.369-6
9592886;800.067.129-1
9706334;800.067.129-1
9271951;800.256.551-8
9470789;802.019.981-3
9478951;900.477.097-6
9671084;900.477.097-6
9567245;802.019.981-3
9521837;802.010.775-1
9081332;860.532.426-7
9615743;900.477.097-6
9423645;860.532.426-7
9272448;860.532.426-7
9379650;900.477.097-6
9603063;830.506.584-3
9292113;802.010.775-1
9694854;802.010.775-1
9445069;802.010.775-1
9467603;800.116.249-8
9275323;900.477.097-6
9674787;830.506.584-3
9486427;860.532.426-7
7124104;806.004.303-9
9681534;800.220.366-6
9595395;800.116.249-8
807392;900.290.842-2
9493652;900.477.097-6
9572745;802.010.775-1
9138678;860.031.615-2
9493664;900.477.097-6
9757802;860.532.426-7
9392119;802.019.981-3
9298363;802.019.981-3
9742077;860.532.426-7
9699359;900.477.097-6
9615119;802.010.775-1
9471123;860.031.615-2
9289025;800.067.129-1
9567257;802.010.775-1
9757527;802.010.775-1
9428657;900.477.097-6
9697155;860.532.426-7
5315;900.290.842-2
9470959;800.182.535-0
9450674;860.532.426-7
12720;900.290.842-2
9138616;802.019.981-3
9430143;806.004.303-9
9589762;830.506.584-3
9609665;900.477.097-6
9425772;900.477.097-6
9424560;860.532.426-7
DL4577AL;900.290.842-2
9344693;800.250.763-5
9423932;900.477.097-6
9081368;860.532.426-7
9235490;830.506.584-3
9486582;800.067.129-1
9496331;800.067.129-1
9121869;800.220.366-6
9305403;900.587.386-1
9550319;800.235.053-1
9282170;800.220.366-6
9369071;860.532.426-7
9224130;802.019.981-3
9216602;830.506.584-3
9228382;901.102.112-3
9426867;802.019.981-3
9705328;900.477.097-6
9439802;800.256.551-8
9726841;900.477.097-6
9396634;800.116.249-8
9656553;900.477.097-6
9523926;806.004.303-9
9694866;900.477.097-6
9722065;900.477.097-6
9448360;806.004.303-9
6805165;900.261.482-0
9669914;900.180.400-9
9204934;860.532.426-7
9460409;806.004.303-9
9412476;800.220.366-6
9426881;802.019.981-3
9347803;800.116.249-8
